"date","storage.10e6.m3_mean","elevation.m_mean","discharge.m3.s_mean","precip.mm_mean","airtemp.C_mean","wind.dir.deg_mean","wind.speed.km.hr_mean","storage.10e6.m3_sd","elevation.m_sd","discharge.m3.s_sd","precip.mm_sd","airtemp.C_sd","wind.dir.deg_sd","wind.speed.km.hr_sd","storage.10e6.m3_sum","elevation.m_sum","discharge.m3.s_sum","precip.mm_sum","airtemp.C_sum","wind.dir.deg_sum","wind.speed.km.hr_sum","storage.m3","discharge.m3.d","res.time"
"2017-02-01",30679.7583333333,388.578916666667,14.5545833333333,0.0833333333333333,-2.78458333333333,266.880833333333,0.0370833333333333,208.55355787291,0.0447951051932655,0.0155979838905315,0.288424003503698,0.952926746428062,27.5699877650013,0.295082584853898,736314.2,9325.894,349.31,2,-66.83,6405.14,0.89,30679758.3333333,1257516,24.3971117133566
"2017-02-02",29910.2108333333,388.413625,14.505,0,-7.58583333333333,275.668333333333,1.16666666666667,249.072410231253,0.0534983238258357,0.0396725729374621,0,1.13562821789323,21.2344612582362,5.13605724831519,717845.06,9321.927,348.12,0,-182.06,6616.04,28,29910210.8333333,1253232,23.8664595488571
"2017-02-03",29016.5408333333,388.216375,14.4445833333333,0,-9.93333333333333,267.125,1.02041666666667,267.295949658096,0.0606714691919776,0.016675722177613,0,0.471691375396231,13.676716488728,4.73886381463144,696396.98,9317.193,346.67,0,-238.4,6411,24.49,29016540.8333333,1248012,23.2502098003331
"2017-02-04",28134.50625,388.016166666667,14.4075,0,-8.23833333333333,243.475,2.07458333333333,261.790976325247,0.059422340014117,0.0159482859921357,0,1.56716766580785,28.4921119518765,8.26013210714794,675228.15,9312.388,345.78,0,-197.72,5843.4,49.79,28134506.25,1244808,22.6014825177859
"2017-02-05",27234.3,387.811833333333,14.3308333333333,0,-4.03458333333333,255.174583333333,1.80666666666667,266.593237609528,0.060512784611599,0.0410637538963255,0,1.06407738835378,31.8994023358441,8.26442384254797,653623.2,9307.484,343.94,0,-96.83,6124.19,43.36,27234300,1238184,21.9953577174313
"2017-02-06",26327.36125,387.599791666667,14.30125,0.0333333333333333,-4.52541666666667,216.135,2.13791666666667,264.738016805007,0.0638040336510525,0.0172733773541077,0.127404411454121,2.26217475042254,71.4929896836959,2.43346948447768,631856.67,9302.395,343.23,0.8,-108.61,5187.24,51.31,26327361.25,1235628,21.3068668320886
"2017-02-07",25443.7566666667,387.386833333333,14.1570833333333,0,-0.932083333333333,131.390416666667,2.32041666666667,251.370604083098,0.0605817210677973,0.250867697102029,0,1.62588298195611,39.3533191218453,6.08536482359373,610650.16,9297.284,339.77,0,-22.37,3153.37,55.69,25443756.6666667,1223172,20.8014544697448
"2017-02-08",24786.44125,387.228458333333,12.2329166666667,0.541176470588235,-4.50833333333333,268.949166666667,9.62333333333333,114.933110312893,0.0276766722783996,1.69370311850194,2.18032647312547,3.50091375235799,81.2963738384152,13.2628584585961,594874.59,9293.483,293.59,9.2,-108.2,6454.78,230.96,24786441.25,1056924,23.4514887068512
"2017-02-09",24456.91875,387.149,12.90125,0,-9.95875,236.919583333333,4.405,131.63036035784,0.0317298378296447,1.19105474813019,0,1.15148415571799,106.155322645197,8.33523531917887,586966.05,9291.576,309.63,0,-239.01,5686.07,105.72,24456918.75,1114668,21.9409893797974
"2017-02-10",23845.7725,386.9941875,14.005,0,-7.9005,199.433,2.1105,209.160384027824,0.0544318763838463,0.276284877134695,0,1.86737213329602,52.5173210624737,5.21017069626423,381532.36,6191.907,224.08,0,-158.01,3988.66,42.21,23845772.5,1210032,19.7067288303119
